year,country,eci,eci_norm,population,gdp_pc,gdp,inflation,economic_freedom,gross_fix_cap,trade_openness,fdi,human_capital,private_sec_cred,rule_of_law,fdi_gdp
2016,Lithuania,0.627923,0.4215447888356318,2868231,31992.6451834056,88699845604.0485,1.61362173854387,75.2,9167002919.86058,134.379391879147,962458735.885536,3.2459893226623535,41.20742,1.029358,0.010850737443015424
2017,Lithuania,0.675449,0.44731096751388305,2828403,33821.1954485172,95659970670.1725,4.25194117227659,75.8,9920168838.14079,144.827932116485,1191438300.52159,3.262708902359009,40.43452,0.9926504,0.012454930648364598
1996,Poland,0.752045,0.4888374208665603,38624370,13184.8089479498,318664573874.385,17.9623566294278,57.8,44616456074.0225,45.4756482739749,4500000000,2.9225142002105713,16.15325,0.767495,0.014121431652373959
1997,Poland,0.801098,0.515431461238236,38649660,14027.2778007848,344761172304.934,13.661969687921,56.8,54563725002.4873,50.4738450924214,4910000000,2.946269989013672,18.17711,1.068723,0.014241742964190899
1998,Poland,0.830855,0.5315641923523362,38663481,14669.3607745665,366197753276.07,11.0271242652208,59.2,62336749245.5145,56.6605452514483,6383000000,2.9702186584472656,20.39298,0.8575056,0.017430472860350862
1999,Poland,0.814231,0.5225515055209755,38660271,15351.5919811853,387468520811.944,6.16270783307753,59.6,66605644546.148,54.0215391059088,7407000000,2.9943623542785645,22.69012,1.258094,0.01911639166061429
2000,Poland,0.902565,0.5704417051456998,38258629,16220.0291054162,407661970478.243,6.11487273888849,60,68060889463.735,60.7907024063226,9335000000,3.0187020301818848,24.86607,0.7141861,0.022898873763105187
2001,Poland,0.939812,0.5906351331057392,38248076,16426.9803547161,424633333696.279,3.12291428613408,61.8,60870891785.2287,58.0751947177794,5677000000,3.0383267402648926,26.48634,1.035779,0.013369181242988571
2002,Poland,0.941757,0.5916896131278154,38230364,16770.122418822,450394072658.275,1.84921594735954,65,57156170198.6535,60.9244563092064,4091000000,3.0580790042877197,26.92111,0.7093069,0.009083156836089052
2003,Poland,0.897007,0.5674284403833862,38204570,17379.2764617482,468286207442.492,0.766547245830935,61.8,57842669054.4888,69.4373056872318,5371000000,3.0779597759246826,27.09271,0.5613903,0.011469481515018969
2004,Poland,0.899269,0.5686547816738421,38182222,18282.5073362218,509395066675.547,4.9122324772958,58.7,61719895201.1408,71.2131669706836,13868000000,3.0979697704315186,26.72807,0.4226498,0.027224448973380132
2005,Poland,0.967138,0.6054498997295218,38165445,18929.5548916463,530344105654.599,2.56901111008503,59.6,66870958113.6205,70.2749609275615,11041000000,3.118109703063965,27.52183,0.4808049,0.02081855889841972
2006,Poland,0.968439,0.606155235723723,38141267,20112.0745920475,577444544059.52,1.72568745730248,59.3,77152522137.1008,77.7913937245753,21473000000,3.140255928039551,29.84449,0.404506,0.037186254889589314
2007,Poland,0.978851,0.6118000922737787,38120560,21538.6178829914,639920274330.447,3.71332653511391,58.1,91845255861.7716,80.6620046227492,25031000000,3.1625592708587646,34.34603,0.4286534,0.03911581020962355
2008,Poland,1.0255,0.6370908061811504,38125759,22450.8629017282,698099544956.881,3.87662238924693,60.3,99933339966.1725,80.7544540767253,14574000000,3.185021162033081,42.86684,0.5465031,0.020876678842270527
2009,Poland,1.02992,0.639487105254455,38151603,23068.3983650111,734838882078.915,3.77123378902394,60.3,97268596822.87,75.2259132726234,14025000000,3.2076425552368164,47.08232,0.6284057,0.019085816417773387
2010,Poland,1.03324,0.6412870403049914,38042794,23968.8184099007,801336653343.38,1.65966092604037,63.2,97226809935.9931,82.1083264489399,18395000000,3.230424642562866,46.78891,0.6835747,0.022955395741916195
2011,Poland,1.07468,0.6637536994900004,38063255,25157.8594589315,869769693309.293,3.22912192023782,64.1,105751334858.886,87.082722756353,18485000000,3.2540197372436523,48.40796,0.766174,0.021252752472517657
2012,Poland,0.960828,0.6020289388352794,38063164,25562.4354663779,907167369644.705,2.349719331907,64.2,103871256591.384,89.327462141553,7358000000,3.278010845184326,50.10712,0.7804115,0.008110961930742488
2013,Poland,0.817343,0.5242386735562976,38040196,25933.8860175537,940325020076.099,0.289942770233907,66,102761914237.389,90.6918664127781,795000000,3.302406072616577,50.25396,0.8194907,8.454523521406055e-4
